method	path	tier	families	category	summary	where
POST	/ISAPI/System/time/ntpServers/test	reference	deepinview,ipc-value	Device (General)	Execute a test to check if the NTP server is available	deepinview:19.1.8.10@p229;ipc-value:8.1.5.10@p96
GET	/ISAPI/System/time/ntpServers/{NTPServerID}	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the parameters of a NTP server	anpr:12.1.7.8@p129;deepinview:19.1.8.8@p227;dvr-pro:12.1.7.6@p130;dvr-value:12.1.7.7@p140;ipc-value:8.1.5.8@p94
PUT	/ISAPI/System/time/ntpServers/{NTPServerID}	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Set the parameters of a NTP server	anpr:12.1.7.7@p128;deepinview:19.1.8.7@p226;dvr-pro:12.1.7.5@p129;dvr-value:12.1.7.6@p139;ipc-value:8.1.5.7@p93
GET	/ISAPI/System/time/ntpServers/{NTPServerID}/capabilities	reference	anpr,dvr-pro,dvr-value	Device (General)	Get the configuration capability of a specific NTP server	anpr:12.1.7.9@p130;dvr-pro:12.1.7.7@p131;dvr-value:12.1.7.8@p141
GET	/ISAPI/System/time/timeType	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the device time type	anpr:@p61;deepinview:19.1.8.12@p230;dvr-pro:12.1.7.10@p133;dvr-value:12.1.7.11@p143;ipc-value:8.1.5.12@p97
PUT	/ISAPI/System/time/timeType	reference	deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Set the device time type	deepinview:19.1.8.11@p229;dvr-pro:12.1.7.9@p133;dvr-value:12.1.7.10@p143;ipc-value:8.1.5.11@p96
GET	/ISAPI/System/time/timeZone	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get time zone	anpr:@p36;deepinview:19.1.8.13@p230;dvr-pro:@p35;dvr-value:12.1.7.12@p144;ipc-value:8.1.5.13@p97
PUT	/ISAPI/System/time/timeZone	reference	deepinview,dvr-value,ipc-value	Device (General)	Set time zone	deepinview:19.1.8.14@p230;dvr-value:12.1.7.13@p144;ipc-value:8.1.5.14@p97
POST	/ISAPI/System/updateFirmware	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	3. The platform sends the upgrade command POST /ISAPI/System/updateFirmware?type=<type>&moduleAddress=	anpr:@p34;deepinview:@p45;dvr-pro:@p33;dvr-value:@p33;ipc-value:@p29
GET	/ISAPI/System/upgradeStatus	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the device upgrading status and progress	anpr:12.1.6.2@p123;deepinview:19.1.7.2@p221;dvr-pro:12.1.6.2@p126;dvr-value:12.1.6.2@p134;ipc-value:8.1.4.1@p88
GET	/ISAPI/Thermal/capabilities	reference	dvr-value	Device (General)	Get the thermal capability	dvr-value:12.1.5.17@p133
PUT	/ISAPI/Traffic/ANPR/alarmHttpPushProtocol	narrative	anpr,deepinview	Narrative / Quick Start	2. (Client) Configure the alarm mode switch for device via PUT /ISAPI/Traffic/ANPR/alarmHttpPushProtocol and	anpr:@p63;deepinview:@p86
GET	/ISAPI/Traffic/ANR	reference	anpr,deepinview	Vehicle Recognition	Get the ANR parameters	anpr:12.5.1.53@p292;deepinview:19.6.1.7@p504
PUT	/ISAPI/Traffic/ANR	reference	anpr,deepinview	Vehicle Recognition	Set ANR parameters	anpr:12.5.1.52@p291;deepinview:19.6.1.6@p503
GET	/ISAPI/Traffic/MNPR/channels/{channelID}	reference	anpr	Vehicle Recognition	Get the recognition result of the license plate captured manually	anpr:12.5.1.76@p321
GET	/ISAPI/Traffic/capabilities	reference	anpr	Traffic Control	Get the traffic service capability	anpr:12.6.1.4@p345
GET	/ISAPI/Traffic/channels//sceneinfo/capabilities	narrative	anpr	Narrative / Quick Start	Scene No., by calling GET /ISAPI/Traffic/channels//sceneinfo/capabilities protocol, the min.	anpr:@p350
GET	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/abandonedObject	reference	anpr	Traffic Control	Get the parameters of fallen object detection.	anpr:12.6.3.1@p349
PUT	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/abandonedObject	reference	anpr	Traffic Control	Configure the parameters of fallen object detection.	anpr:12.6.3.2@p351
GET	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/abandonedObject/capabilities	reference	anpr	Traffic Control	Get the capability of configuring parameters of fallen object detection.	anpr:12.6.3.3@p353
GET	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/congestion	reference	anpr	Traffic Control	Get the event rule parameters of congestion detection.	anpr:12.6.3.5@p357
PUT	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/congestion	reference	anpr	Traffic Control	Configure the event rule parameters of congestion detection.	anpr:12.6.3.4@p355
GET	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/congestion/capabilities	reference	anpr	Traffic Control	Get the capability of configuring the event rule parameters of congestion detection.	anpr:12.6.3.6@p358
GET	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/construction	reference	anpr	Traffic Control	Get the parameters of construction detection.	anpr:12.6.3.7@p360
GET	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/construction/capabilities	reference	anpr	Traffic Control	Get the capability of configuring parameters of construction detection.	anpr:12.6.3.8@p362
GET	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/pedestrian	reference	anpr	Traffic Control	Get the rule parameters of pedestrian detection.	anpr:12.6.3.9@p364
GET	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/roadBlock	reference	anpr	Traffic Control	Get the configuration parameters of roadblock detection	anpr:12.6.3.10@p366
GET	/ISAPI/Traffic/channels/{channelID}/AID/{SID}/roadBlock/capabilities	reference	anpr	Traffic Control	Get the configuration capability of roadblock detection	anpr:12.6.3.11@p367
GET	/ISAPI/Traffic/channels/{channelID}/DelLicensePlateAuditData/capabilities	reference	anpr	Entrance & Exit Management and Control	Get the capability of deleting the license plate information in the blocklist or allowlist	anpr:12.9.6.1@p434
